step,time,loss,test_loss
0,0.1934,1.1851853132247925,0.9916588068008423
1,0.2344,0.7269418239593506,0.947946310043335
2,0.2762,0.6037607192993164,0.9345138072967529
3,0.3175,0.5724827647209167,0.9347141981124878
4,0.3586,0.5703692436218262,0.9335020780563354
5,0.4024,0.5653522610664368,0.931617259979248
6,0.4483,0.5654774904251099,0.9266911149024963
7,0.4910,0.564290463924408,0.9229879975318909
8,0.5367,0.5604501962661743,0.9236541986465454
9,0.5797,0.5575728416442871,0.9184287786483765
10,0.6217,0.5534676313400269,0.9139636158943176
11,0.6648,0.5523855090141296,0.9159055948257446
12,0.7087,0.5453612804412842,0.9132562279701233
13,0.7508,0.5495574474334717,0.9135392308235168
14,0.7912,0.539591908454895,0.9083430767059326
15,0.8316,0.5407650470733643,0.9050046801567078
16,0.8714,0.5362574458122253,0.9017439484596252
17,0.9118,0.5340640544891357,0.8978337049484253
18,0.9535,0.5337202548980713,0.8935668468475342
19,0.9942,0.5308744311332703,0.888227641582489
20,1.0336,0.5281330943107605,0.8862057328224182
21,1.0777,0.5220536589622498,0.8837974071502686
22,1.1183,0.5200523734092712,0.875420093536377
23,1.1594,0.5176238417625427,0.8748050928115845
24,1.2007,0.5150100588798523,0.8730002641677856
25,1.2420,0.5125466585159302,0.8688191175460815
26,1.2858,0.5098661184310913,0.8662770986557007
27,1.3269,0.5056642889976501,0.862830638885498
28,1.3691,0.5046064853668213,0.861496090888977
29,1.4103,0.4985809326171875,0.8572235703468323
30,1.4555,0.49490439891815186,0.8571393489837646
31,1.5007,0.4946497678756714,0.8483193516731262
32,1.5459,0.49428606033325195,0.8509358167648315
33,1.5908,0.488977313041687,0.8425925374031067
34,1.6328,0.48776760697364807,0.8412613272666931
35,1.6771,0.48483243584632874,0.83857661485672
36,1.7186,0.48200324177742004,0.8359016180038452
37,1.7629,0.4834567606449127,0.8317067623138428
38,1.8086,0.4786392152309418,0.8284289836883545
39,1.8569,0.4749906063079834,0.8247935771942139
40,1.9012,0.4711727201938629,0.8224479556083679
41,1.9461,0.47126781940460205,0.8192907571792603
42,1.9936,0.46933066844940186,0.8140000104904175
43,2.0412,0.46333783864974976,0.8110123872756958
44,2.0840,0.4602113664150238,0.8093947172164917
45,2.1309,0.46358737349510193,0.8059924244880676
46,2.1785,0.4589681923389435,0.8010045886039734
47,2.2205,0.4541049897670746,0.7990972399711609
48,2.2633,0.4561083912849426,0.7977272272109985
49,2.3095,0.45143985748291016,0.7923328280448914
50,2.3512,0.45064955949783325,0.7859775424003601
51,2.3913,0.44808030128479004,0.7853253483772278
52,2.4344,0.44768819212913513,0.7806293368339539
53,2.4788,0.4423736333847046,0.7738473415374756
54,2.5220,0.44042330980300903,0.7764422297477722
55,2.5665,0.4365432858467102,0.7733170390129089
56,2.6079,0.43694090843200684,0.7727022767066956
57,2.6525,0.4341108798980713,0.7696571946144104
58,2.6928,0.434375524520874,0.7680870294570923
59,2.7324,0.429657518863678,0.7645071744918823
60,2.7727,0.42548152804374695,0.7595837116241455
61,2.8127,0.42277684807777405,0.7575722336769104
62,2.8529,0.42144444584846497,0.7570964694023132
63,2.8933,0.42013055086135864,0.7565820813179016
64,2.9345,0.4194546043872833,0.7532169222831726
65,2.9777,0.41588813066482544,0.7462428212165833
